# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  259       7.106840633916e-10       6.458767637824e-13       1.487640521796e-13 
  260       7.076644537898e-10       6.381870850753e-13       1.470379739613e-13 
  261       7.045827667892e-10       6.306163105765e-13       1.453273315480e-13 
  262       7.014401692890e-10       6.231597994366e-13       1.436305760532e-13 
  263       6.982378616756e-10       6.158126481517e-13       1.419460899733e-13 
  264       6.949770780611e-10       6.085696875743e-13       1.402721864430e-13 
  265       6.916590865216e-10       6.014254799254e-13       1.386071084910e-13 
  266       6.882851299591e-10       5.943753499918e-13       1.369494098900e-13 
  267       6.848562446349e-10       5.874185469021e-13       1.352991221489e-13 
  268       6.813734322465e-10       5.805552482286e-13       1.336566494427e-13 
  269       6.778377185554e-10       5.737855400246e-13       1.320223926245e-13 
  270       6.742501535257e-10       5.671094155836e-13       1.303967491258e-13 
  271       6.706118114625e-10       5.605267741979e-13       1.287801128572e-13 
  272       6.669237911503e-10       5.540374199182e-13       1.271728741081e-13 
  273       6.631872159914e-10       5.476410603117e-13       1.255754194474e-13 
  274       6.594032341444e-10       5.413373052220e-13       1.239881316241e-13 
  275       6.555730186625e-10       5.351256655274e-13       1.224113894670e-13 
  276       6.516977676320e-10       5.290055519001e-13       1.208455677855e-13 
  277       6.477787043107e-10       5.229762735653e-13       1.192910372699e-13 
  278       6.438170772665e-10       5.170370370602e-13       1.177481643915e-13 
  279       6.398141605154e-10       5.111869449925e-13       1.162173113033e-13 
  280       6.357712536604e-10       5.054249948000e-13       1.146988357400e-13 
  281       6.316896820296e-10       4.997500775092e-13       1.131930909185e-13 
  282       6.275707968147e-10       4.941609764944e-13       1.117004254381e-13 
  283       6.234159752094e-10       4.886563662367e-13       1.102211831811e-13 
  284       6.192266205481e-10       4.832348110829e-13       1.087557032129e-13 
  285       6.150041624438e-10       4.778947640045e-13       1.073043196826e-13 
  286       6.107500569270e-10       4.726345653567e-13       1.058673617229e-13 
  287       6.064657865839e-10       4.674524416374e-13       1.044451533508e-13 
  288       6.021528606947e-10       4.623465042461e-13       1.030380133679e-13 
  289       5.978128153724e-10       4.573147482429e-13       1.016462552605e-13 
  290       5.934472137009e-10       4.523550511077e-13       1.002701871005e-13 
  291       5.890576458734e-10       4.474651714986e-13       9.891011144479e-14 
  292       5.846457293312e-10       4.426427480116e-13       9.756632523661e-14 
  293       5.802131089017e-10       4.378852979391e-13       9.623911970523e-14 
  294       5.757614569369e-10       4.331902160289e-13       9.492878026650e-14 
  295       5.712924734522e-10       4.285547732436e-13       9.363558642320e-14 
  296       5.668078862641e-10       4.239761155188e-13       9.235981166531e-14 
  297       5.623093456414e-10       4.194518005191e-13       9.110166847272e-14 
  298       5.577981022960e-10       4.149814393672e-13       8.986114056486e-14 
  299       5.532753139763e-10       4.105651324637e-13       8.863814228525e-14 
  300       5.487421495373e-10       4.062029381888e-13       8.743257258942e-14 
  301       5.441997889355e-10       4.018948723903e-13       8.624431487081e-14 
  302       5.396494232249e-10       3.976409078726e-13       8.507323678674e-14 
  303       5.350922545520e-10       3.934409738844e-13       8.391919008425e-14 
  304       5.305294961511e-10       3.892949556077e-13       8.278201042602e-14 
  305       5.259623723402e-10       3.852026936461e-13       8.166151721630e-14 
  306       5.213921185158e-10       3.811639835128e-13       8.055751342680e-14 
  307       5.168199811489e-10       3.771785751197e-13       7.946978542259e-14 
  308       5.122472177798e-10       3.732461722652e-13       7.839810278800e-14 
  309       5.076750970139e-10       3.693664321229e-13       7.734221815254e-14 
  310       5.031048985170e-10       3.655389647301e-13       7.630186701682e-14 
  311       4.985379130106e-10       3.617633324760e-13       7.527676757841e-14 
  312       4.939754422674e-10       3.580390495902e-13       7.426662055779e-14 
  313       4.894187991067e-10       3.543655816310e-13       7.327110902423e-14 
  314       4.848693073897e-10       3.507423449743e-13       7.228989822170e-14 
  315       4.803283020151e-10       3.471687063012e-13       7.132263539477e-14 
  316       4.757971289142e-10       3.436439820871e-13       7.036894961455e-14 
  317       4.712771450465e-10       3.401674380900e-13       6.942845160454e-14 
  318       4.667697183950e-10       3.367382888384e-13       6.850073356657e-14 
  319       4.622762279618e-10       3.333556971204e-13       6.758536900671e-14 
  320       4.577980637633e-10       3.300187734717e-13       6.668191256117e-14 
  321       4.533366268255e-10       3.267265756643e-13       6.578989982217e-14 
  322       4.488933291796e-10       3.234781081945e-13       6.490884716389e-14 
  323       4.444695938575e-10       3.202723217717e-13       6.403825156839e-14 
  324       4.400668548868e-10       3.171081128066e-13       6.317759045143e-14 
  325       4.356865572867e-10       3.139843228998e-13       6.232632148848e-14 
  326       4.313301570627e-10       3.108997383299e-13       6.148388244055e-14 
  327       4.269991212029e-10       3.078530895423e-13       6.064969098013e-14 
  328       4.226949276727e-10       3.048430506373e-13       5.982314451709e-14 
  329       4.184190654103e-10       3.018682388588e-13       5.900362002457e-14 
  330       4.141730343225e-10       2.989272140824e-13       5.819047386492e-14 
  331       4.099583452794e-10       2.960184783039e-13       5.738304161557e-14 
  332       4.057764032414e-10       2.931407552080e-13       5.658077387699e-14 
  333       4.016281510134e-10       2.902938433940e-13       5.578365059817e-14 
  334       3.975144099350e-10       2.874777993828e-13       5.499178449106e-14 
  335       3.934359952172e-10       2.846926606879e-13       5.420528665303e-14 
  336       3.893937158100e-10       2.819384456086e-13       5.342426654039e-14 
  337       3.853883742716e-10       2.792151530220e-13       5.264883194183e-14 
  338       3.814207666368e-10       2.765227621753e-13       5.187908895198e-14 
  339       3.774916822854e-10       2.738612324786e-13       5.111514194487e-14 
  340       3.736019038111e-10       2.712305032970e-13       5.035709354748e-14 
  341       3.697522068895e-10       2.686304937431e-13       4.960504461320e-14 
  342       3.659433601472e-10       2.660611024696e-13       4.885909419537e-14 
  343       3.621761250298e-10       2.635222074614e-13       4.811933952075e-14 
  344       3.584512556710e-10       2.610136658284e-13       4.738587596304e-14 
  345       3.547694987607e-10       2.585353135974e-13       4.665879701639e-14 
  346       3.511315934139e-10       2.560869655053e-13       4.593819426889e-14 
  347       3.475382710388e-10       2.536684147905e-13       4.522415737609e-14 
  348       3.439902552059e-10       2.512794329864e-13       4.451677403448e-14 
  349       3.404882615160e-10       2.489197697128e-13       4.381612995501e-14 
  350       3.370329974692e-10       2.465891524691e-13       4.312230883658e-14 
  351       3.336251623331e-10       2.442872864264e-13       4.243539233957e-14 
  352       3.302654470116e-10       2.420138542199e-13       4.175546005931e-14 
  353       3.269545339132e-10       2.397685157413e-13       4.108258949961e-14 
  354       3.236930968198e-10       2.375509079315e-13       4.041685604626e-14 
  355       3.204818007551e-10       2.353606445725e-13       3.975833294050e-14 
  356       3.173213018530e-10       2.331973160803e-13       3.910709125257e-14 
  357       3.142122472265e-10       2.310604892972e-13       3.846319985520e-14 
  358       3.111552748359e-10       2.289497072839e-13       3.782672539708e-14 
  359       3.081510133578e-10       2.268644891126e-13       3.719773227640e-14 
  360       3.052000820529e-10       2.248043296585e-13       3.657628261436e-14 
  361       3.023030906353e-10       2.227686993931e-13       3.596243622864e-14 
  362       2.994606391406e-10       2.207570441761e-13       3.535625060691e-14 
  363       2.966733177946e-10       2.187687850478e-13       3.475778088038e-14 
  364       2.939417068819e-10       2.168033180221e-13       3.416707979723e-14 
  365       2.912663766142e-10       2.148600138779e-13       3.358419769616e-14 
  366       2.886478869991e-10       2.129382179527e-13       3.300918247989e-14 
  367       2.860867877086e-10       2.110372499340e-13       3.244207958866e-14 
  368       2.835836179474e-10       2.091564036524e-13       3.188293197371e-14 
  369       2.811389063219e-10       2.072949468736e-13       3.133178007083e-14 
  370       2.787531707084e-10       2.054521210911e-13       3.078866177381e-14 
  371       2.764268605528e-10       2.036272798625e-13       3.025360180510e-14 
  372       2.741601815507e-10       2.018203102094e-13       2.972657942333e-14 
  373       2.719532638546e-10       2.000312272876e-13       2.920755940112e-14 
  374       2.698062188427e-10       1.982600372438e-13       2.869650247845e-14 
  375       2.677191389375e-10       1.965067371285e-13       2.819336532690e-14 
  376       2.656920974244e-10       1.947713148086e-13       2.769810051395e-14 
  377       2.637251482701e-10       1.930537488808e-13       2.721065646725e-14 
  378       2.618183259411e-10       1.913540085840e-13       2.673097743895e-14 
  379       2.599716452221e-10       1.896720537123e-13       2.625900346992e-14 
  380       2.581851010347e-10       1.880078345281e-13       2.579467035409e-14 
